739.92,-2181.69
764.10,-2172.81
788.19,-2167.38
814.31,-2163.58
837.64,-2159.22
861.70,-2151.34
887.04,-2144.81
911.95,-2138.68
936.55,-2133.21
958.57,-2121.77
713.49,-1531.18
0.00,0.00
0.00,0.00
1218.82,-2064.00
1249.72,-2063.28
1276.34,-2057.52
1307.80,-2059.03
1334.82,-2051.76
1361.28,-2040.92
1387.69,-2032.14
1418.54,-2030.59
1444.67,-2020.69
1472.34,-2011.47
7569.49,-10102.25
2231.83,-550.64
1413.49,-1365.74
1403.78,-1327.05
1397.43,-1292.48
1391.00,-1257.28
1385.49,-1224.43
1386.76,-1200.19
1433.87,-1213.19
1401.13,-1160.79
1395.48,-1129.41
1387.73,-1097.07
1382.22,-1069.63
10579.63,-7999.49
3269.23,11.59
1334.52,-756.96
1356.75,-752.06
1380.71,-745.77
1408.29,-742.41
1434.95,-735.58
1459.49,-729.17
1489.95,-726.19
1515.66,-718.88
1541.83,-711.30
1575.05,-705.89
1622.09,-705.83
2940.75,-1242.60
3069.84,829.74
1732.88,-674.43
1772.89,-667.82
1795.57,-654.09
1798.18,-633.46
1826.36,-621.63
1870.15,-614.42
1907.57,-604.31
1944.89,-592.87
2054.63,-603.74
2107.13,-594.89
2156.29,-584.08
736.85,-191.20
2676.01,1213.37
2463.14,-513.03
2519.45,-498.29
2592.81,-483.47
2661.45,-467.79
2732.01,-449.53
2809.65,-430.88
2966.06,-424.28
3045.88,-403.53
3150.23,-381.57
3216.63,-355.83
3242.96,-322.97
2884.06,-257.08
4747.72,3077.68
3268.15,84.69
3242.02,120.30
3236.52,155.46
3229.64,190.46
3231.36,225.96
3223.72,260.79
3205.91,295.46
3187.17,327.96
3193.09,363.81
3178.16,398.15
3172.63,432.66
3187.76,470.19
3769.32,4044.32
3123.77,783.37
3092.77,810.65
3061.33,839.10
3057.77,873.19
3055.98,907.04
3048.28,941.96
3030.26,970.90
3024.94,1005.72
3018.57,1039.38
3018.82,1076.44
3001.81,1106.50
3889.91,1482.25
2037.69,3562.97
4731.87,2836.18
4761.37,2924.92
4741.87,2984.67
4757.78,3067.65
4698.37,3102.42
4671.91,3158.67
4706.73,3272.79
4684.69,3331.93
4683.32,3410.44
4621.12,3440.95
4425.28,3372.68
1778.49,1387.17
824.57,3545.12
0.00,0.00
3351.64,3967.89
3254.50,3939.26
0.00,0.00
0.00,0.00
0.00,0.00
0.00,0.00
2858.44,3880.63
2809.51,3902.66
2605.09,3707.53
2480.30,3610.97
4175.14,6230.13
